,area,begin-area,country,disambiguation,end-area,gender,id,ipi,ipi-list,isni-list,life-span,name,sort-name,type
57,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Fort Worth', 'id': 'ae96202a-e993-45de-adfe-a8c6b66a781d', 'name': 'Fort Worth'}",US,,,Female,d339efbb-77b9-4147-ba9e-59f2f24550b2,,,['0000000114370895'],{'begin': '1982-04-24'},Kelly Clarkson,"Clarkson, Kelly",Person
58,"{'sort-name': 'Australia', 'id': '106e0bec-b638-3b37-b731-f53d507dc00e', 'name': 'Australia', 'iso-3166-1-code-list': ['AU']}","{'sort-name': 'Sydney', 'id': '3f179da4-83c6-4a28-a627-e46b4a8ff1ed', 'name': 'Sydney'}",AU,,,Female,60530915-9371-4b16-bc31-5c4456317ae0,,,['0000000114505008'],{'begin': '1975-02-04'},Natalie Imbruglia,"Imbruglia, Natalie",Person
59,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Los Angeles', 'id': '1f40c6e1-47ba-4e35-996f-fe6ee5840e62', 'name': 'Los Angeles'}",US,US country rock band,,,f46bd570-5768-462e-b84c-c7c993bbf47e,,,['0000000115265624'],"{'ended': 'true', 'begin': '1971', 'end': '2016-02-15'}",Eagles,Eagles,Group
60,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'Bath', 'id': 'f51a1724-464b-41ae-b96e-30f868973077', 'name': 'Bath'}",GB,,,,7c7f9c94-dee8-4903-892b-6cf44652e2de,,,['0000000121834678'],{'begin': '1981'},Tears for Fears,Tears for Fears,Group
61,,,,,,,,,,,,,,
62,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Jamestown', 'id': 'bea8044d-66f2-4d4e-91d9-f63ba18b99ac', 'name': 'Jamestown'}",US,,,Female,ba03daa8-0a45-4432-881f-4de8e0e05305,00125988441,['00125988441'],['0000000114898980'],{'begin': '1963-10-26'},Natalie Merchant,"Merchant, Natalie",Person
63,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'Manchester', 'iso-3166-2-code-list': ['GB-MAN'], 'id': '852531bf-3410-401f-b432-9c3157a386b9', 'name': 'Manchester'}",GB,,,,a9100753-f539-43cf-bcc9-579566fb512e,,,['0000000122598822'],{'begin': '1985'},Simply Red,Simply Red,Group
64,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Boston', 'id': 'e331bfdf-b908-429c-a79b-710cf9c06abb', 'name': 'Boston'}",US,US rock band,,,0d8b0d50-e4cf-4da4-965d-f24c58ec3268,,,,{'begin': '1975'},Boston,Boston,Group
65,"{'sort-name': 'United Kingdom', 'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'name': 'United Kingdom', 'iso-3166-1-code-list': ['GB']}","{'sort-name': 'Cowbridge', 'id': 'be15955c-86b1-4ccb-acb2-502373f69a32', 'name': 'Cowbridge'}",GB,,,,afe5e238-d248-4da4-87b7-e70dfab787f6,,,,{'begin': '2002'},The Automatic,"Automatic, The",Group
66,"{'sort-name': 'United States', 'id': '489ce91b-6658-3307-9877-795b68554c98', 'name': 'United States', 'iso-3166-1-code-list': ['US']}","{'sort-name': 'Chicago', 'id': '29a709d8-0320-493e-8d0c-f2c386662b7f', 'name': 'Chicago'}",US,industrial metal,,,13df2a46-f72f-40e7-aa63-26fcf62c7048,,,['0000000115475218'],"{'ended': 'true', 'begin': '1981', 'end': '2013'}",Ministry,Ministry,Group
